topic,question,A,B,C,D,correct
Robotics,Which component stores robot programs?,Actuator,Memory,Sensor,Motor,B
Robotics,What is SLAM in robotics?,Speed Limit and Motion,Simultaneous Localization and Mapping,System Load and Memory,Servo Linear Actuator Module,B
Robotics,Which sensor detects colors?,Ultrasonic,Color sensor,Gyroscope,Pressure,B
Robotics,What is a robot's workspace?,Storage area,Reachable area,Power area,Memory space,B
Robotics,Which technology enables robots to see?,Sonar,Computer Vision,Radio,Bluetooth,B
Robotics,What does CNC stand for?,Computer Numeric Control,Central Network Controller,Circular Navigation Circuit,Coordinated Node Communication,A
Robotics,Which sensor measures angular velocity?,Accelerometer,Gyroscope,Ultrasonic,LDR,B
Robotics,What is path planning?,Power management,Route calculation,Speed control,Memory allocation,B
Robotics,Which robot is used in manufacturing?,Service robot,Industrial robot,Medical robot,Entertainment robot,B
Robotics,What does HMI stand for?,Human Machine Interface,High Memory Integration,Hardware Module Input,Hydraulic Motor Interface,A
Robotics,Which component provides robot movement?,Controller,Sensor,Actuator,Display,C
Robotics,What is a stepper motor's advantage?,High speed,Precise positioning,Low cost,Simple control,B
Robotics,Which sensor uses sound waves?,IR sensor,Ultrasonic,LDR,Gyroscope,B
Robotics,What is telepresence robotics?,Remote control,Autonomous operation,Manual control,Pre-programmed,A
Robotics,Which joint allows rotation?,Prismatic,Revolute,Fixed,Linear,B
Robotics,What does AGV stand for?,Automated Guided Vehicle,Advanced Ground Vehicle,Autonomous GPS Vehicle,Aerial Guided Vehicle,A
Robotics,Which sensor detects touch?,Proximity,Tactile,Ultrasonic,LDR,B
Robotics,What is robot calibration?,Power adjustment,Position accuracy setup,Speed tuning,Memory clearing,B
Robotics,Which programming method uses teaching?,Code writing,Lead-through,Simulation,Voice command,B
Robotics,What does SCARA stand for?,Selective Compliance Assembly Robot Arm,System Control and Robot Automation,Standard Circular Array Robot,Serial Communication Automated Robot,A
Robotics,Which sensor measures temperature?,Ultrasonic,Thermistor,Gyroscope,Encoder,B
Robotics,What is a robotic exoskeleton?,Industrial robot,Wearable robot,Flying robot,Underwater robot,B
Robotics,Which technology enables wireless robot control?,Serial cable,Bluetooth,Encoder,Potentiometer,B
Android App Development,Which language is officially supported for Android?,Python,Java,Ruby,PHP,B
Android App Development,What is the main component that represents UI in Android?,Service,Activity,Broadcast Receiver,Content Provider,B
Android App Development,Which file defines app permissions?,build.gradle,AndroidManifest.xml,strings.xml,styles.xml,B
Android App Development,What does APK stand for?,Android Package Kit,Application Program Kit,Android Program Kernel,Application Package Key,A
Android App Development,Which layout arranges views linearly?,RelativeLayout,LinearLayout,FrameLayout,GridLayout,B
Android App Development,What is the IDE for Android development?,Eclipse,Visual Studio,Android Studio,NetBeans,C
Android App Development,Which method is called when activity starts?,onCreate(),onStart(),onResume(),onPause(),A
Android App Development,What does SDK stand for?,Software Development Kit,System Design Kit,Standard Development Kernel,Software Design Key,A
Android App Development,Which component runs in background?,Activity,Service,Intent,Fragment,B
Android App Development,What is the extension of Android app file?,exe,.apk,.app,.jar,B
Android App Development,Which file contains string resources?,AndroidManifest.xml,strings.xml,colors.xml,build.gradle,B
Android App Development,What is used to pass data between activities?,Intent,Service,Fragment,Adapter,A
Android App Development,Which database is built into Android?,MySQL,SQLite,MongoDB,Oracle,B
Android App Development,What does UI stand for?,User Interface,Universal Input,Unified Integration,User Interaction,A
Android App Development,Which method inflates layout in Activity?,onCreate(),setContentView(),inflate(),show(),B
Android App Development,What is Material Design?,Programming language,Design language,Database,Testing tool,B
Android App Development,Which component listens to system events?,Service,Activity,Broadcast Receiver,Content Provider,C
Android App Development,What is Gradle used for?,Design UI,Build automation,Database management,Testing,B
Android App Development,Which view displays scrollable list?,TextView,Button,RecyclerView,ImageView,C
Android App Development,What does ADB stand for?,Android Debug Bridge,Application Database,Android Data Backup,Application Debug Build,A
Android App Development,Which file defines app dependencies?,AndroidManifest.xml,strings.xml,build.gradle,proguard-rules.pro,C
Android App Development,What is Fragment?,UI portion,Complete app,Database,Service,A
Android App Development,Which method is called when activity is destroyed?,onCreate(),onDestroy(),onPause(),onStop(),B
Android App Development,What is used for asynchronous operations?,Thread,Intent,Adapter,Manifest,A
Android App Development,Which view displays images?,TextView,EditText,ImageView,Button,C
Android App Development,What does MVP stand for in Android?,Most Valuable Player,Model View Presenter,Multiple View Pattern,Managed View Program,B
Android App Development,Which component shares data between apps?,Service,Activity,Content Provider,Broadcast Receiver,C
Android App Development,What is Logcat used for?,Design UI,View logs,Build app,Test app,B
Android App Development,Which layout overlays views?,LinearLayout,RelativeLayout,FrameLayout,TableLayout,C
Android App Development,What is Toast in Android?,Long message,Short message popup,Dialog box,Notification,B
Android App Development,Which XML attribute sets view ID?,android:name,android:id,android:tag,android:key,B
Android App Development,What does JNI stand for?,Java Native Interface,Java Network Integration,Java Node Implementation,Java New Instance,A
Android App Development,Which method handles button clicks?,onStart(),onClick(),onCreate(),onResume(),B
Android App Development,What is SharedPreferences used for?,Large data,Key-value storage,File storage,Network requests,B
Android App Development,Which component manages app lifecycle?,AndroidManifest,Activity Manager,Service Manager,Content Manager,B
Android App Development,What does AAPT stand for?,Android Asset Packaging Tool,Application Access Protocol,Android App Performance Tester,Automated Application Tool,A
Android App Development,Which annotation defines activity in Manifest?,@Activity,<activity>,@Component,<component>,B
Android App Development,What is ViewModel used for?,Network calls,Manage UI data,Database operations,File handling,B
Android App Development,Which method saves activity state?,onSaveInstanceState(),onCreate(),onPause(),onDestroy(),A
Android App Development,What is ProGuard used for?,Design UI,Code obfuscation,Testing,Debugging,B
Android App Development,Which view accepts text input?,TextView,EditText,Button,ImageView,B
Android App Development,What does MVVM stand for?,Model View View Model,Multiple View Virtual Machine,Managed View Value Model,Model Virtual View Manager,A
Android App Development,Which component handles notifications?,NotificationManager,ActivityManager,ServiceManager,ContentManager,A
Android App Development,What is Retrofit used for?,UI design,Network requests,Database,File storage,B
Android App Development,Which layout positions views relative to each other?,LinearLayout,RelativeLayout,FrameLayout,ScrollView,B
Android App Development,What does NDK stand for?,Native Development Kit,Network Design Kit,New Development Kernel,Node Development Key,A
Android App Development,Which method is called when activity becomes visible?,onCreate(),onStart(),onResume(),onPause(),B
Android App Development,What is LiveData used for?,Static data,Observable data,File data,Network data,B
Android App Development,Which file defines app version?,strings.xml,AndroidManifest.xml,build.gradle,colors.xml,C
Android App Development,What is Glide library used for?,Database,Image loading,Networking,Testing,B
Database,Which SQL command retrieves data?,INSERT,SELECT,UPDATE,DELETE,B
Database,What does DBMS stand for?,Database Management System,Data Backup Management Service,Digital Base Management System,Database Monitoring Service,A
Database,Which key uniquely identifies records?,Foreign Key,Primary Key,Candidate Key,Super Key,B
Database,What is normalization used for?,Increase redundancy,Reduce redundancy,Delete data,Backup data,B
Database,Which command creates a table?,CREATE TABLE,MAKE TABLE,NEW TABLE,BUILD TABLE,A
Database,What does SQL stand for?,Structured Query Language,Standard Query Language,System Query Language,Simple Query Language,A
Database,Which constraint ensures unique values?,CHECK,UNIQUE,NOT NULL,DEFAULT,B
Database,What is a foreign key?,Unique identifier,Reference to primary key,Index,Constraint,B
Database,Which command adds data to table?,INSERT,ADD,CREATE,UPDATE,A
Database,What is ACID in databases?,Properties,Commands,Functions,Tables,A
Database,Which join returns matching records from both tables?,LEFT JOIN,RIGHT JOIN,INNER JOIN,OUTER JOIN,C
Database,What does DDL stand for?,Data Definition Language,Data Description Language,Database Definition Language,Data Design Language,A
Database,Which command modifies existing data?,INSERT,SELECT,UPDATE,CREATE,C
Database,What is an index used for?,Store data,Speed up queries,Delete data,Backup data,B
Database,Which normal form eliminates partial dependency?,1NF,2NF,3NF,BCNF,B
Database,What does DML stand for?,Data Manipulation Language,Database Management Language,Data Modification Language,Database Manipulation Logic,A
Database,Which clause filters records?,SELECT,FROM,WHERE,ORDER BY,C
Database,What is a view in database?,Physical table,Virtual table,Index,Constraint,B
Database,Which command removes table?,DROP TABLE,DELETE TABLE,REMOVE TABLE,CLEAR TABLE,A
Database,What is cardinality?,Number of rows,Number of columns,Relationship type,Data type,A
Database,Which aggregate function counts rows?,SUM,AVG,COUNT,MAX,C
Database,What does NULL represent?,Zero,Empty string,Unknown value,Space,C
Database,Which command removes all records?,DELETE,DROP,TRUNCATE,REMOVE,C
Database,What is a composite key?,Single column,Multiple columns,Foreign key,Unique key,B
Database,Which clause groups records?,GROUP BY,ORDER BY,HAVING,WHERE,A
Database,What is denormalization?,Reduce redundancy,Increase redundancy,Delete data,Add constraints,B
Database,Which join returns all records from left table?,INNER JOIN,RIGHT JOIN,LEFT JOIN,FULL JOIN,C
Database,What does TCL stand for?,Transaction Control Language,Table Control Language,Transfer Control Language,Transaction Creation Language,A
Database,Which command starts transaction?,BEGIN,START,INIT,OPEN,A
Database,What is referential integrity?,Data validation,Foreign key constraint,Primary key constraint,Check constraint,B
Database,Which function returns current date?,NOW(),DATE(),TODAY(),CURRENT(),A
Database,What is a stored procedure?,Saved query,Precompiled code,View,Index,B
Database,Which constraint prevents NULL values?,UNIQUE,NOT NULL,CHECK,DEFAULT,B
Database,What does ER stand for?,Entity Relationship,Entry Record,External Reference,Entity Record,A
Database,Which command saves transaction?,COMMIT,SAVE,END,STORE,A
Database,What is data redundancy?,Duplicate data,Missing data,Corrupt data,Encrypted data,A
Database,Which operator checks pattern?,LIKE,IN,BETWEEN,EXISTS,A
Database,What is a trigger?,Stored procedure,Event-driven code,View,Index,B
Database,Which command undoes transaction?,ROLLBACK,UNDO,REVERT,CANCEL,A
Database,What is data integrity?,Data accuracy,Data speed,Data size,Data encryption,A
Database,Which clause orders results?,WHERE,HAVING,ORDER BY,GROUP BY,C
Database,What is a candidate key?,Primary key only,Potential primary key,Foreign key,Composite key,B
Database,Which join returns all records from both tables?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,D
Database,What does NoSQL stand for?,No Structured Query Language,Not Only SQL,New Object SQL,Network Object SQL,B
Database,Which function returns highest value?,MIN,MAX,AVG,SUM,B
Database,What is a superkey?,Minimal key,Any uniquely identifying key,Foreign key,Composite key,B
Database,Which clause filters grouped data?,WHERE,HAVING,ORDER BY,GROUP BY,B
Database,What is a schema?,Database structure,Data values,Query result,User permission,A
Database,Which command grants permissions?,GRANT,ALLOW,PERMIT,GIVE,A
Database,What is OLTP?,Online Transaction Processing,Offline Transaction Protocol,Online Transfer Processing,Object Level Transaction Processing,A
Java,Which keyword is used to define a class?,class,Class,define,struct,A
Java,What is the default value of boolean variable?,true,false,0,null,B
Java,Which method is the entry point of Java program?,start(),main(),run(),init(),B
Java,What does JVM stand for?,Java Virtual Machine,Java Variable Method,Java Visual Manager,Java Version Manager,A
Java,Which is not a primitive data type?,int,String,boolean,char,B
Java,What is the extension of Java source file?,.class,.java,.jar,.jvm,B
Java,Which keyword is used for inheritance?,extends,implements,inherits,super,A
Java,What does JDK stand for?,Java Development Kit,Java Design Kit,Java Deployment Kernel,Java Debug Kit,A
Java,Which access modifier is most restrictive?,public,protected,private,default,C
Java,What is the superclass of all classes?,System,Object,Class,Super,B
Java,Which loop executes at least once?,for,while,do-while,foreach,C
Java,What does API stand for?,Application Programming Interface,Advanced Program Integration,Application Protocol Interface,Automated Programming Interface,A
Java,Which keyword prevents inheritance?,final,static,abstract,private,A
Java,What is used to handle exceptions?,if-else,try-catch,switch,for,B
Java,Which operator checks object type?,typeof,instanceof,is,checktype,B
Java,What is method overloading?,Same name different parameters,Same name same parameters,Different name same parameters,Abstract method,A
Java,Which keyword creates objects?,create,new,make,object,B
Java,What does OOP stand for?,Object Oriented Programming,Open Operation Protocol,Object Operation Process,Oriented Object Program,A
Java,Which collection allows duplicate elements?,Set,List,Map,Queue,B
Java,What is garbage collection?,Manual memory cleanup,Automatic memory cleanup,File deletion,Cache clearing,B
Java,Which keyword makes variable constant?,static,final,const,constant,B
Java,What is encapsulation?,Hiding implementation,Multiple inheritance,Method overriding,Exception handling,A
Java,Which interface has only one method?,Runnable,Serializable,Cloneable,Comparable,A
Java,What does JRE stand for?,Java Runtime Environment,Java Release Environment,Java Remote Execution,Java Rendering Engine,A
Java,Which keyword refers to current object?,this,self,current,me,A
Java,What is polymorphism?,Many forms,Single form,No form,Two forms,A
Java,Which is wrapper class for int?,Int,INTEGER,Integer,int_wrapper,C
Java,What is abstract class?,Cannot be instantiated,Cannot have methods,Cannot inherit,Cannot use variables,A
Java,Which keyword is used for interface?,interface,Interface,abstract,implement,A
Java,What is constructor?,Special method,Normal method,Variable,Class,A
Java,Which exception is checked?,NullPointerException,IOException,ArrayIndexOutOfBoundsException,ArithmeticException,B
Java,What does IDE stand for?,Integrated Development Environment,Internal Design Environment,Interface Development Engine,Interactive Debug Environment,A
Java,Which method compares strings?,compare(),equals(),check(),match(),B
Java,What is multithreading?,Multiple processes,Multiple threads,Multiple classes,Multiple files,B
Java,Which keyword stops loop?,break,stop,end,exit,A
Java,What is interface?,Contract,Class,Method,Variable,A
Java,Which operator concatenates strings?,+,&,.,concat,A
Java,What is package?,Group of classes,Single class,Method,Variable,A
Java,Which keyword makes method unchangeable?,final,static,const,fixed,A
Java,What does JAR stand for?,Java Archive,Java Application Resource,Java Array,Java Automated Runtime,A
Java,Which method starts thread?,start(),run(),begin(),execute(),A
Java,What is serialization?,Object to byte stream,Byte to object,Object to string,String to object,A
Java,Which collection is synchronized?,ArrayList,Vector,LinkedList,HashSet,B
Java,What is lambda expression?,Anonymous function,Named function,Class,Interface,A
Java,Which keyword imports packages?,import,include,using,require,A
Java,What is method overriding?,Subclass redefines method,Same method name,Static method,Private method,A
Java,Which is not access modifier?,public,protected,private,package,D
Java,What does toString() do?,Convert to string,Convert to int,Convert to char,Convert to boolean,A
C#,What does CLR stand for?,Common Language Runtime,Central Language Reference,Common Library Runtime,Central Logic Reference,A
C#,Which is a value type?,string,class,struct,interface,C
C#,What is boxing?,Value to reference type,Reference to value type,Type casting,Type conversion,A
C#,Which keyword is used for inheritance?,extends,inherits,:,implements,C
C#,What does IDE stand for?,Integrated Development Environment,Internal Design Environment,Interface Development Engine,Interactive Debug Environment,A
C#,Which access modifier is most restrictive?,public,internal,private,protected,C
C#,What is LINQ?,Language Integrated Query,Linear Integrated Query,Language Interface Query,Logic Integrated Query,A
C#,Which keyword prevents overriding?,sealed,final,static,const,A
C#,What is delegate?,Type-safe function pointer,Class,Interface,Struct,A
C#,Which collection is generic?,ArrayList,List<T>,Hashtable,Queue,B
C#,What does async keyword do?,Synchronous method,Asynchronous method,Static method,Abstract method,B
C#,Which operator checks null?,==,??,is,as,B
C#,What is property?,Field with accessors,Method,Class,Interface,A
C#,Which keyword handles exceptions?,try-catch,if-else,switch,for,A
C#,What is polymorphism?,Many forms,Single form,No form,Two forms,A
C#,Which is reference type?,int,bool,string,char,C
C#,What does .NET Framework provide?,Runtime and libraries,Only compiler,Only IDE,Only debugger,A
C#,Which keyword creates objects?,create,new,make,object,B
C#,What is interface?,Contract,Class,Struct,Enum,A
C#,Which loop executes at least once?,for,while,do-while,foreach,C
C#,What is encapsulation?,Data hiding,Method overloading,Inheritance,Polymorphism,A
C#,Which keyword makes variable constant?,const,final,static,readonly,A
C#,What is garbage collection?,Manual cleanup,Automatic cleanup,File deletion,Cache clearing,B
C#,Which method converts to string?,ToString(),ConvertString(),AsString(),StringValue(),A
C#,What does OOP stand for?,Object Oriented Programming,Open Operation Protocol,Object Operation Process,Oriented Object Program,A
C#,Which keyword refers to base class?,base,super,parent,this,A
C#,What is abstract class?,Cannot instantiate,Cannot inherit,Cannot override,Cannot access,A
C#,Which is not access modifier?,public,private,friend,protected,C
C#,What is lambda expression?,Anonymous function,Named function,Class,Struct,A
C#,Which keyword defines interface?,interface,Interface,abstract,class,A
C#,What is method overloading?,Same name different parameters,Same name same parameters,Different name same parameters,Virtual method,A
C#,Which collection allows duplicates?,HashSet,Dictionary,List,SortedSet,C
C#,What does IEnumerable represent?,Collection,Single value,Method,Property,A
C#,Which keyword stops loop?,break,stop,end,exit,A
C#,What is constructor?,Special method,Normal method,Property,Field,A
C#,Which exception is predefined?,CustomException,NullReferenceException,MyException,UserException,B
C#,What is event?,Notification mechanism,Method,Property,Field,A
C#,Which keyword makes method virtual?,virtual,abstract,override,sealed,A
C#,What is namespace?,Logical grouping,Physical file,Class,Method,A
C#,Which operator is ternary?,?:,&&,||,==,A
C#,What does var keyword do?,Type inference,Variable declaration,Constant,Static variable,A
C#,Which is nullable type?,int,int?,string,bool,B
C#,What is extension method?,Extends existing type,New class,Interface,Delegate,A
C#,Which keyword imports namespace?,using,import,include,require,A
C#,What is yield keyword for?,Return iterator,Return value,Break loop,Exit method,A
C#,Which is not loop structure?,for,while,foreach,repeat,D
Python,Which function displays output?,print(),show(),display(),output(),A
Python,What is the file extension for Python?,.py,.python,.pt,.p,A
Python,Which keyword defines function?,def,function,define,func,A
Python,What does PEP stand for?,Python Enhancement Proposal,Python Execution Protocol,Python Environment Package,Python Extension Program,A
Python,Which is mutable data type?,tuple,string,list,int,C
Python,What is used for single line comment?,#,//,/*,--,A
Python,Which keyword creates class?,class,Class,define,struct,A
Python,What does len() return?,Length,Size,Count,Index,A
Python,Which operator checks membership?,in,is,==,has,A
Python,What is lambda?,Anonymous function,Named function,Class,Module,A
Python,Which loop iterates over sequence?,for,while,do-while,repeat,A
Python,What does import keyword do?,Import module,Export module,Define module,Delete module,A
Python,Which is not a data type?,int,float,number,str,C
Python,What is list comprehension?,Concise list creation,List method,List function,List class,A
Python,Which function converts to integer?,int(),toInt(),integer(),convertInt(),A
Python,What does self represent?,Current instance,Class,Method,Module,A
Python,Which is immutable?,list,dict,tuple,set,C
Python,What does pip stand for?,Pip Installs Packages,Python Install Program,Package Installer Python,Python Integrated Packager,A
Python,Which exception is predefined?,CustomError,ValueError,MyError,UserError,B
Python,What is dictionary?,Key-value pairs,Ordered list,Set,Tuple,A
Python,Which keyword handles exceptions?,try-except,if-else,switch,catch,A
Python,What does __init__ do?,Constructor,Destructor,Method,Variable,A
Python,Which function reads input?,input(),read(),get(),scan(),A
Python,What is module?,Python file,Class,Function,Variable,A
Python,Which operator is logical AND?,and,&&,AND,&,A
Python,What does range() generate?,Sequence,List,Tuple,Dictionary,A
Python,Which is string method?,upper(),max(),sum(),len(),A
Python,What is generator?,Iterator function,Normal function,Class,Module,A
Python,Which keyword inherits class?,inherits,extends,class(Base),def,C
Python,What does pass keyword do?,Does nothing,Breaks loop,Returns value,Raises exception,A
Python,Which function returns type?,type(),typeof(),datatype(),gettype(),A
Python,What is decorator?,Modifies function,Creates class,Defines module,Deletes variable,A
Python,Which is not loop?,for,while,foreach,None of above,C
Python,What does break do?,Exits loop,Continues loop,Returns value,Raises error,A
Python,Which function opens file?,open(),file(),read(),load(),A
Python,What is slicing?,Extract portion,Delete data,Add data,Sort data,A
Python,Which operator is exponentiation?,**,^,exp,pow,A
Python,What does yield keyword do?,Generate values,Return value,Break loop,Import module,A
Python,Which is set operation?,union(),append(),push(),pop(),A
Python,What is polymorphism?,Many forms,Single form,No form,Two forms,A
Python,Which function deletes variable?,del,delete(),remove(),clear(),A
Python,What does enumerate() do?,Index and value,Only index,Only value,Length,A
Python,Which is not comparison operator?,==,!=,<>,is,C
Python,What is multiple inheritance?,Multiple parent classes,Multiple child classes,Multiple methods,Multiple variables,A
Python,Which function sorts list?,sort(),order(),arrange(),organize(),A
Python,What does zip() do?,Combine iterables,Compress file,Extract file,Sort list,A
Python,Which is string formatting?,f-string,g-string,s-string,t-string,A
Python,What does None represent?,Null value,Zero,Empty string,False,A
Web Design,Which language structures web pages?,CSS,JavaScript,HTML,Python,C
Web Design,What does CSS stand for?,Cascading Style Sheets,Central Style System,Computer Style Sheets,Creative Style Standard,A
Web Design,Which tag creates hyperlink?,<link>,<a>,<href>,<url>,B
Web Design,What is the purpose of <div> tag?,Division/container,Display,Document,Data,A
Web Design,Which attribute specifies alternative text for images?,alt,title,text,caption,A
Web Design,What does HTML stand for?,HyperText Markup Language,High Text Modern Language,HyperText Modern Language,High Technical Markup Language,A
Web Design,Which property changes text color in CSS?,color,text-color,font-color,text,A
Web Design,What is responsive design?,Adapts to screen size,Fast loading,Interactive,Animated,A
Web Design,Which tag defines table row?,<tr>,<td>,<th>,<table>,A
Web Design,What does DOM stand for?,Document Object Model,Data Object Model,Document Orientation Method,Digital Object Management,A
Web Design,Which CSS property controls spacing inside element?,margin,padding,border,spacing,B
Web Design,What is Bootstrap?,CSS framework,Programming language,Database,Server,A
Web Design,Which tag creates unordered list?,<ol>,<ul>,<li>,<list>,B
Web Design,What does viewport meta tag control?,Mobile display,Desktop display,Print layout,Email format,A
Web Design,Which property makes text bold in CSS?,font-weight,text-bold,font-style,bold,A
Web Design,What is Flexbox?,Layout model,Grid system,Animation,Framework,A
Web Design,Which tag embeds JavaScript?,<js>,<script>,<javascript>,<code>,B
Web Design,What does SEO stand for?,Search Engine Optimization,Site Engine Operation,System Entry Optimization,Search Entry Operation,A
Web Design,Which attribute specifies link destination?,href,src,link,url,A
Web Design,What is semantic HTML?,Meaningful tags,Styled tags,Animated tags,Complex tags,A
Web Design,Which property controls element opacity?,opacity,transparent,visibility,alpha,A
Web Design,What does AJAX stand for?,Asynchronous JavaScript and XML,Advanced Java and XML,Automatic JavaScript XML,Asynchronous Java XML,A
Web Design,Which tag defines table header?,<th>,<td>,<tr>,<thead>,A
Web Design,What is CSS Grid?,Layout system,Framework,Animation,Typography,A
Web Design,Which property adds space outside element?,padding,margin,border,spacing,B
Web Design,What is media query used for?,Responsive design,Animation,Database,Security,A
Web Design,Which tag creates line break?,<br>,<break>,<lb>,<newline>,A
Web Design,What does CDN stand for?,Content Delivery Network,Central Data Network,Content Distribution Node,Central Delivery Node,A
Web Design,Which property controls text alignment?,text-align,align,text-position,alignment,A
Web Design,What is pseudo-class in CSS?,Special state selector,Class name,ID selector,Element selector,A
Web Design,Which tag creates input field?,<input>,<field>,<textbox>,<entry>,A
Web Design,What does UI stand for?,User Interface,Universal Input,Unified Interface,User Integration,A
Web Design,Which property controls background image?,background-image,bg-image,image,background,A
Web Design,What is wireframe?,Layout sketch,Finished design,Code structure,Database schema,A
Web Design,Which tag defines section?,<section>,<div>,<part>,<segment>,A
Web Design,What does UX stand for?,User Experience,Universal Extension,Unified Experience,User Execution,A
Web Design,Which property controls font size?,font-size,text-size,size,font,A
Web Design,What is sprite sheet?,Combined images,CSS file,JavaScript library,HTML template,A
Web Design,Which attribute makes input required?,required,mandatory,needed,must,A
Web Design,What does RGB stand for?,Red Green Blue,Real Graphics Base,Random Generated Base,Red Gray Black,A
Web Design,Which property creates rounded corners?,border-radius,corner-radius,round,radius,A
Web Design,What is minification?,Reduce file size,Compress images,Delete code,Encrypt data,A
Web Design,Which tag embeds video?,<video>,<movie>,<media>,<film>,A
Web Design,What does px stand for in CSS?,Pixel,Point,Percent,Position,A
Web Design,Which property controls z-axis stacking?,z-index,stack,layer,depth,A
Web Design,What is accessibility in web design?,Usability for all users,Fast loading,Good design,Mobile friendly,A
Web Design,Which tag creates ordered list?,<ol>,<ul>,<li>,<list>,A
Web Design,What does RGBA add to RGB?,Alpha channel,Red value,Gradient,Border,A
Web Design,Which property controls letter spacing?,letter-spacing,text-spacing,char-spacing,spacing,A
Web Design,What is progressive enhancement?,Basic first then enhance,Full features first,Mobile only,Desktop only,A
Esports,Which hero is known as Demon Hunter in Mobile Legends?,Alucard,Zilong,Hayabusa,Saber,A
Esports,What is the max level in Mobile Legends?,15,18,20,25,A
Esports,Which weapon class has highest fire rate in CODM?,Sniper,SMG,LMG,Shotgun,B
Esports,What does MPV stand for in esports?,Most Powerful Victory,Most Valuable Player,Maximum Power Victory,Most Professional Valor,B
Esports,Which item provides shield in Mobile Legends?,Antique Cuirass,Blade of Despair,Scarlet Phantom,Lightning Truncheon,A
Esports,What is the bomb defusal time in CODM Search and Destroy?,3 seconds,5 seconds,7 seconds,10 seconds,C
Esports,Which role farms jungle in Mobile Legends?,Support,Tank,Jungler,Marksman,C
Esports,What does ADS mean in CODM?,Aim Down Sights,Advanced Defense System,Automatic Damage Score,Attack Defense Strategy,A
Esports,Which buff gives extra gold in Mobile Legends?,Red buff,Blue buff,Gold crab,Lithowanderer,C
Esports,What is TTK in CODM?,Time To Kill,Total Team Kills,Target Track Kill,Tactical Team Knockout,A
Esports,Which lane is top in Mobile Legends?,EXP Lane,Gold Lane,Mid Lane,Jungle,A
Esports,What does meta mean in gaming?,Most Effective Tactics Available,Maximum Efficiency Tactical Advantage,Modern Electronic Tournament Arena,Multiple Entity Team Attack,A
Esports,Which scorestreak requires most points in CODM?,UAV,Predator Missile,VTOL,Stealth Chopper,C
Esports,What is ganking in Mobile Legends?,Ambushing enemy,Solo farming,Defending tower,Buying items,A
Esports,Which perk reduces flinch in CODM?,Toughness,Lightweight,Cold Blooded,Ghost,A
Esports,What does CC stand for in MOBA games?,Critical Chance,Crowd Control,Core Character,Combat Class,B
Esports,Which weapon is one-shot kill in CODM?,M4,DL Q33,RUS,QQ9,B
Esports,What is split pushing in Mobile Legends?,Pushing different lanes,Team fighting,Jungling,Defending base,A
Esports,Which mode is 5v5 in CODM ranked?,Team Deathmatch,Search and Destroy,Domination,All of above,D
Esports,What is kiting in Mobile Legends?,Moving while attacking,Standing still,Recalling,Buying items,A
Esports,Which attachment reduces ADS time in CODM?,Scope,Foregrip,Laser,Stock,C
Esports,What is last hitting in Mobile Legends?,Getting final blow on minion,Killing enemy hero,Destroying turret,Using ultimate,A
Esports,Which class has stopping power in CODM?,Assault,SMG,Sniper,Shotgun,C
Esports,What does APM mean in esports?,Actions Per Minute,Attack Power Maximum,Advanced Player Mode,Automatic Performance Measure,A
Esports,Which emblem gives movement speed in Mobile Legends?,Assassin,Mage,Support,Tank,A
Esports,What is hardscoping in CODM?,Camping with sniper,Running and shooting,Quickscoping,Noscoping,A
Esports,What is zoning in Mobile Legends?,Controlling area,Farming,Recalling,Shopping,A
Esports,Which equipment detects enemies in CODM?,Smoke,Flash,Heartbeat Sensor,Trophy System,C
Esports,What is peeling in Mobile Legends?,Protecting carry,Attacking enemy,Farming jungle,Pushing lane,A
Esports,Which gun has burst mode in CODM?,AK-47,M16,ICR-1,KN-44,B
Esports,What does ADC stand for in MOBA?,Attack Damage Carry,Advanced Defense Character,Automatic Damage Control,All Damage Core,A
Esports,Which item counters lifesteal in Mobile Legends?,Dominance Ice,Blade Armor,Cursed Helmet,Immortality,A
Esports,What is dropshot in CODM?,Shooting while prone,Shooting while standing,Shooting while jumping,Shooting while running,A
Esports,What is rotation in Mobile Legends?,Moving between lanes,Attacking,Defending,Shopping,A
Esports,Which scorestreak shows enemy positions in CODM?,UAV,Sentry Gun,Stealth Chopper,Hunter Killer,A
Esports,What is poking in Mobile Legends?,Harassing from distance,Close combat,Farming,Defending,A
Esports,Which weapon type has lowest mobility in CODM?,SMG,Sniper,LMG,Pistol,C
Esports,What is backdoor in Mobile Legends?,Attacking base directly,Team fighting,Jungling,Defending,A
Esports,Which perk hides from UAV in CODM?,Ghost,Cold Blooded,Dead Silence,Alert,A
Esports,What is overextending in Mobile Legends?,Pushing too far,Playing safe,Farming,Recalling,A
Esports,Which attachment increases bullet penetration in CODM?,FMJ,Suppressor,Quickdraw,Extended Mag,A
Esports,What is objective control in MOBA?,Securing buffs and objectives,Killing enemies,Farming minions,Defending base,A
Esports,Which item provides resurrection in Mobile Legends?,Immortality,Oracle,Athena's Shield,Sky Guardian Helmet,A
Esports,What is pre-firing in CODM?,Shooting before seeing enemy,Shooting after,Shooting while moving,Not shooting,A
Esports,What is map awareness in esports?,Knowing enemy positions,Good aim,Fast reflexes,Communication,A
Esports,Which role initiates team fights in Mobile Legends?,Tank,Marksman,Mage,Support,A
