topic,question,A,B,C,D,correct
Robotics,Which are common robot coordinate systems?,Cartesian,Binary,Polar,Cylindrical,"A,C,D"
Robotics,Which programming languages are used in robotics?,Python,HTML,C++,MATLAB,"A,C,D"
Robotics,Which components are essential for mobile robots?,Motors,Monitor,Wheels,Batteries,"A,C,D"
Robotics,Which are types of robotic grippers?,Vacuum grippers,Radio grippers,Magnetic grippers,Mechanical grippers,"A,C,D"
Robotics,Which control methods are used in robotics?,PID control,Desktop publishing,Fuzzy logic,Adaptive control,"A,C,D"
Robotics,Which are applications of industrial robots?,Welding,Painting,Assembly,Social media,"A,B,C"
Robotics,Which sensors detect orientation?,Gyroscopes,Moisture sensors,Accelerometers,Magnetometers,"A,C,D"
Robotics,Which are types of robot navigation?,GPS-based,Audio-based,Vision-based,Sensor-based,"A,C,D"
Robotics,Which are characteristics of humanoid robots?,Bipedal locomotion,Single wheel,Human-like appearance,Articulated arms,"A,C,D"
Robotics,Which are robot learning methods?,Reinforcement learning,Manual typing,Supervised learning,Imitation learning,"A,C,D"
Robotics,Which components enable robot vision?,Cameras,Speakers,Image processors,Light sensors,"A,C,D"
Robotics,Which are types of robot joints?,Revolute,Elastic,Prismatic,Spherical,"A,C,D"
Robotics,Which platforms are used for robot simulation?,Gazebo,PowerPoint,V-REP,Webots,"A,C,D"
Robotics,Which are robotic manipulation tasks?,Grasping,Sleeping,Placing,Lifting,"A,C,D"
Robotics,Which sensors measure environmental data?,Temperature sensors,Printers,Humidity sensors,Gas sensors,"A,C,D"
Robotics,Which are collaborative robot features?,Force sensing,Safety sensors,Password protection,Human interaction,"A,B,D"
Robotics,Which microcontrollers are used in robotics?,Arduino,Raspberry Pi,Toaster,ESP32,"A,B,D"
Robotics,Which are path planning algorithms?,A-star,Dijkstra,Bubble sort,RRT,"A,B,D"
Robotics,Which are types of mobile robots?,Wheeled robots,Flying robots,Stationary monitors,Legged robots,"A,B,D"
Robotics,Which communication protocols are used in robotics?,I2C,SPI,SMTP,UART,"A,B,D"
Robotics,Which are robot workspace types?,Rectangular,Cylindrical,Triangular,Spherical,"B,C,D"
Robotics,Which technologies enable autonomous navigation?,SLAM,Computer vision,Email servers,Path planning,"A,B,D"
Robotics,Which are feedback sensors in robotics?,Encoders,Potentiometers,Keyboards,Force sensors,"A,B,D"
Robotics,Which robot types use wheels?,Mobile robots,AGVs,Humanoid robots,Delivery robots,"A,B,D"
Robotics,Which are industrial robot applications?,Pick and place,Material handling,Web browsing,Machine tending,"A,B,D"
Robotics,Which processors are used in robotics?,ARM,x86,Typewriter,DSP,"A,B,D"
Robotics,Which are robotic arm configurations?,SCARA,Delta,Triangle,Articulated,"A,B,D"
Robotics,Which sensors enable obstacle avoidance?,Ultrasonic,LiDAR,Calendar,Infrared,"A,B,D"
Robotics,Which are robot power sources?,Batteries,Solar panels,Thoughts,Fuel cells,"A,B,D"
Robotics,Which frameworks support robot development?,ROS,OpenRAVE,WordPress,Gazebo,"A,B,D"
Robotics,Which are end effector types?,Grippers,Welding torches,Printers,Suction cups,"A,B,D"
Robotics,Which are motion planning techniques?,Sampling-based,Optimization-based,Email-based,Graph-based,"A,B,D"
Robotics,Which robot features improve safety?,Emergency stops,Collision detection,Auto-delete,Force limiting,"A,B,D"
Robotics,Which are robotic sensing modalities?,Vision,Touch,Telepathy,Auditory,"A,B,D"
Robotics,Which motors provide precise control?,Stepper motors,Servo motors,Fan motors,Brushless DC motors,"A,B,D"
Robotics,Which are robot localization methods?,GPS,Odometry,Guessing,Triangulation,"A,B,D"
Robotics,Which environments challenge robots?,Underwater,Space,Desktop folders,Disaster zones,"A,B,D"
Robotics,Which are swarm robotics characteristics?,Decentralized control,Emergent behavior,Single unit,Collective task solving,"A,B,D"
Robotics,Which technologies aid robot manipulation?,Force control,Vision guidance,Music streaming,Tactile feedback,"A,B,D"
Robotics,Which are robot calibration methods?,Kinematic calibration,Vision calibration,Random calibration,Tool calibration,"A,B,D"
Robotics,Which sensors measure robot dynamics?,IMU,Force/torque sensors,Temperature only,Accelerometers,"A,B,D"
Robotics,Which are legged robot types?,Bipedal,Quadrupedal,Wheeled only,Hexapodal,"A,B,D"
Robotics,Which software tools simulate robots?,MATLAB,Simulink,Notepad,CoppeliaSim,"A,B,D"
Robotics,Which are robot safety standards?,ISO 10218,ISO 15066,HTML5,ANSI/RIA R15.06,"A,B,D"
Robotics,Which mechanisms provide robot mobility?,Tracks,Legs,Stationary base,Propellers,"A,B,D"
Robotics,Which are machine learning applications in robotics?,Object recognition,Trajectory learning,File compression,Grasp planning,"A,B,D"
Robotics,Which robot components require calibration?,Sensors,Actuators,Paint color,Kinematics,"A,B,D"
Robotics,Which are autonomous vehicle technologies?,Lane detection,Object tracking,Radio broadcasting,Path following,"A,B,D"
Android App Development,Which are Android UI components?,TextView,Button,Compiler,ImageView,"A,B,D"
Android App Development,Which Android lifecycle methods exist?,onCreate,onStart,onCompile,onResume,"A,B,D"
Android App Development,Which layouts are available in Android?,LinearLayout,RelativeLayout,RandomLayout,ConstraintLayout,"A,B,D"
Android App Development,Which storage options exist in Android?,SharedPreferences,SQLite,PowerPoint,Internal storage,"A,B,D"
Android App Development,Which are Android architecture components?,ViewModel,LiveData,Clipboard,Room,"A,B,D"
Android App Development,Which permissions are runtime permissions?,Camera,Location,Internet,Storage,"A,B,D"
Android App Development,Which are Android app components?,Activity,Service,Compiler,BroadcastReceiver,"A,B,D"
Android App Development,Which libraries are used for networking?,Retrofit,OkHttp,Paint,Volley,"A,B,D"
Android App Development,Which are Android testing frameworks?,Espresso,JUnit,Photoshop,Mockito,"A,B,D"
Android App Development,Which are valid intent types?,Explicit,Implicit,Random,Pending,"A,B,D"
Android App Development,Which image loading libraries exist?,Glide,Picasso,Excel,Coil,"A,B,D"
Android App Development,Which are dependency injection frameworks?,Dagger,Hilt,Notepad,Koin,"A,B,D"
Android App Development,Which are Android notification channels?,Default,High priority,No priority,Custom,"A,B,D"
Android App Development,Which are RecyclerView components?,Adapter,ViewHolder,Compiler,LayoutManager,"A,B,D"
Android App Development,Which build tools are used?,Gradle,Maven,Paintbrush,Android Studio,"A,B,D"
Android App Development,Which are background task solutions?,WorkManager,JobScheduler,Calculator,Coroutines,"A,B,D"
Android App Development,Which security features exist?,Encryption,Biometric auth,Auto-delete,ProGuard,"A,B,D"
Android App Development,Which are material design components?,CardView,FloatingActionButton,Clipboard,Toolbar,"A,B,D"
Android App Development,Which databases can Android use?,Room,SQLite,Excel,Realm,"A,B,D"
Android App Development,Which are navigation components?,NavController,NavGraph,Printer,Fragment,"A,B,D"
Android App Development,Which are input validation methods?,TextWatcher,Pattern matching,Random checking,EditText validation,"A,B,D"
Android App Development,Which APIs handle location?,FusedLocationProvider,LocationManager,Calculator,Geocoder,"A,B,D"
Android App Development,Which are animation types?,Property animation,View animation,No animation,Transition animation,"A,B,D"
Android App Development,Which handle asynchronous tasks?,Coroutines,AsyncTask,Notepad,RxJava,"A,B,D"
Android App Development,Which are view binding options?,ViewBinding,DataBinding,AudioBinding,Synthetic binding,"A,B,D"
Android App Development,Which support media playback?,MediaPlayer,ExoPlayer,Calculator,VideoView,"A,B,D"
Android App Development,Which are state management solutions?,ViewModel,SavedStateHandle,Random state,StateFlow,"A,B,D"
Android App Development,Which handle JSON parsing?,Gson,Moshi,Paintbrush,Jackson,"A,B,D"
Android App Development,Which enable real-time updates?,Firebase,WebSocket,Printer,LiveData,"A,B,D"
Android App Development,Which are gesture detectors?,GestureDetector,ScaleGestureDetector,NoGestureDetector,TouchListener,"A,B,D"
Android App Development,Which support offline functionality?,Room caching,WorkManager sync,Online-only mode,SharedPreferences,"A,B,D"
Android App Development,Which are UI testing tools?,Espresso,UI Automator,Compiler,Robolectric,"A,B,D"
Android App Development,Which handle app crashes?,Firebase Crashlytics,ACRA,Ignoring errors,Custom handlers,"A,B,D"
Android App Development,Which are dialog types?,AlertDialog,DialogFragment,NoDialog,BottomSheetDialog,"A,B,D"
Android App Development,Which support push notifications?,Firebase Cloud Messaging,OneSignal,Email only,Local notifications,"A,B,D"
Android App Development,Which are image processing libraries?,OpenCV,Glide transformations,Notepad,RenderScript,"A,B,D"
Android App Development,Which handle deep linking?,Navigation component,Intent filters,Random links,App Links,"A,B,D"
Android App Development,Which are accessibility features?,TalkBack,Content descriptions,No access,Touch exploration,"A,B,D"
Android App Development,Which support in-app purchases?,Google Play Billing,Payment gateway,Free only,Subscription management,"A,B,D"
Android App Development,Which are debugging tools?,Logcat,Android Profiler,Guessing,Debug breakpoints,"A,B,D"
Android App Development,Which enable multi-language support?,String resources,Locale,Single language,Translation API,"A,B,D"
Android App Development,Which are app distribution platforms?,Google Play Store,APK direct,Floppy disk,App Bundle,"A,B,D"
Android App Development,Which monitor app performance?,Firebase Performance,Android Profiler,No monitoring,Custom analytics,"A,B,D"
Android App Development,Which are theme customization options?,Styles,Themes,Random colors,Material components,"A,B,D"
Android App Development,Which support camera functionality?,Camera2 API,CameraX,Microphone,Image capture,"A,B,D"
Android App Development,Which are splash screen implementations?,SplashScreen API,Custom activity,No splash,Theme-based splash,"A,B,D"
Android App Development,Which handle file operations?,File API,MediaStore,Deletion only,Storage Access Framework,"A,B,D"
Android App Development,Which are vector drawable benefits?,Scalability,Small size,Large size,Resolution independence,"A,B,D"
Android App Development,Which implement dark mode?,AppCompat,Material components,No theming,System settings,"A,B,D"
Android App Development,Which are code obfuscation tools?,ProGuard,R8,Plain text,DexGuard,"A,B,D"
Database,Which are types of databases?,Relational,NoSQL,Spreadsheet,Object-oriented,"A,B,D"
Database,Which are SQL data types?,INTEGER,VARCHAR,AUDIO,DATE,"A,B,D"
Database,Which ensure data integrity?,Primary keys,Foreign keys,Random keys,Constraints,"A,B,D"
Database,Which are database normalization forms?,1NF,2NF,0NF,3NF,"A,B,D"
Database,Which are NoSQL database types?,Document,Key-value,Relational,Graph,"A,B,D"
Database,Which are SQL join types?,INNER JOIN,LEFT JOIN,RANDOM JOIN,RIGHT JOIN,"A,B,D"
Database,Which are database indexing types?,B-tree,Hash,Unsorted,Bitmap,"A,B,D"
Database,Which are ACID properties?,Atomicity,Consistency,Randomness,Isolation,"A,B,D"
Database,Which are aggregate functions?,SUM,AVG,RANDOM,COUNT,"A,B,D"
Database,Which are database backup strategies?,Full backup,Incremental,No backup,Differential,"A,B,D"
Database,Which are transaction isolation levels?,Read committed,Repeatable read,No isolation,Serializable,"A,B,D"
Database,Which database engines exist?,InnoDB,MyISAM,Notepad,Memory,"A,B,D"
Database,Which are data warehousing concepts?,ETL,OLAP,SMTP,Data mart,"A,B,D"
Database,Which prevent SQL injection?,Prepared statements,Parameterized queries,Raw input,Stored procedures,"A,B,D"
Database,Which are database scaling methods?,Vertical scaling,Horizontal scaling,No scaling,Sharding,"A,B,D"
Database,Which are constraint types?,NOT NULL,UNIQUE,RANDOM,CHECK,"A,B,D"
Database,Which are replication strategies?,Master-slave,Multi-master,No replication,Snapshot,"A,B,D"
Database,Which optimize query performance?,Indexes,Query caching,Random execution,Execution plans,"A,B,D"
Database,Which are database management systems?,MySQL,PostgreSQL,Notepad,MongoDB,"A,B,D"
Database,Which are data modeling approaches?,ER modeling,UML,Random design,Dimensional modeling,"A,B,D"
Database,Which support full-text search?,Full-text indexes,Search engines,No search,Text analysis,"A,B,D"
Database,Which are database triggers?,BEFORE trigger,AFTER trigger,RANDOM trigger,INSTEAD OF trigger,"A,B,D"
Database,Which are partitioning types?,Range,Hash,Random,List,"A,B,D"
Database,Which handle concurrency?,Locks,Timestamps,Ignoring conflicts,MVCC,"A,B,D"
Database,Which are view types?,Materialized view,Standard view,No view,Indexed view,"A,B,D"
Database,Which ensure high availability?,Clustering,Replication,Single server,Failover,"A,B,D"
Database,Which are data compression techniques?,Row compression,Page compression,No compression,Column compression,"A,B,D"
Database,Which are database roles?,Admin,User,Guest,Developer,"A,B,D"
Database,Which support distributed databases?,CAP theorem,Consistency,Centralized only,Availability,"A,B,D"
Database,Which are query optimization techniques?,Index usage,Join optimization,Random queries,Query rewriting,"A,B,D"
Database,Which handle database migration?,Schema migration,Data migration,No migration,Version control,"A,B,D"
Database,Which are temporal database features?,Valid time,Transaction time,No time,Bitemporal,"A,B,D"
Database,Which are database monitoring tools?,Performance monitor,Query analyzer,No monitoring,Profiler,"A,B,D"
Database,Which enforce referential integrity?,Foreign keys,Cascading,No integrity,Triggers,"A,B,D"
Database,Which are column types in NoSQL?,String,Number,Undefined,Boolean,"A,B,D"
Database,Which support JSON data?,JSON column,JSON functions,No JSON,JSON indexing,"A,B,D"
Database,Which are deadlock solutions?,Timeout,Detection,Ignoring,Prevention,"A,B,D"
Database,Which are data encryption methods?,TDE,Column encryption,No encryption,Application encryption,"A,B,D"
Database,Which handle database versioning?,Migration scripts,Version control,No versioning,Schema comparison,"A,B,D"
Database,Which are query caching strategies?,Result caching,Query caching,No caching,Prepared statement cache,"A,B,D"
Database,Which support geospatial data?,Spatial indexes,GIS functions,No spatial,Location queries,"A,B,D"
Database,Which are database connection pooling benefits?,Resource efficiency,Performance,No pooling,Connection reuse,"A,B,D"
Database,Which implement soft deletes?,Deleted flag,Archived table,Permanent delete,Timestamp,"A,B,D"
Database,Which are database audit features?,Audit trail,Change tracking,No audit,Logging,"A,B,D"
Database,Which support time-series data?,Time indexes,Aggregation,Random data,Retention policies,"A,B,D"
Database,Which are database design patterns?,Repository,DAO,Random pattern,Unit of Work,"A,B,D"
Database,Which optimize storage?,Compression,Partitioning,No optimization,Archiving,"A,B,D"
Database,Which support database clustering?,Shared storage,Shared nothing,Single node,Replication,"A,B,D"
Database,Which handle schema evolution?,Migrations,Versioning,No changes,Backward compatibility,"A,B,D"
Database,Which are database testing approaches?,Unit tests,Integration tests,No testing,Performance tests,"A,B,D"
Java,Which are Java primitive types?,int,double,String,boolean,"A,B,D"
Java,Which are access modifiers?,public,private,friend,protected,"A,B,D"
Java,Which are Java collection interfaces?,List,Set,Array,Map,"A,B,D"
Java,Which are object-oriented principles?,Encapsulation,Inheritance,Compilation,Polymorphism,"A,B,D"
Java,Which are exception types?,Checked,Unchecked,Unhandled,Runtime,"A,B,D"
Java,Which are Java keywords?,class,interface,function,extends,"A,B,D"
Java,Which are looping constructs?,for,while,repeat,do-while,"A,B,D"
Java,Which are stream operations?,map,filter,print,reduce,"A,B,D"
Java,Which implement thread creation?,Thread class,Runnable,Random,Callable,"A,B,D"
Java,Which are String methods?,length,substring,compile,concat,"A,B,D"
Java,Which are Java frameworks?,Spring,Hibernate,Photoshop,JUnit,"A,B,D"
Java,Which handle concurrency?,synchronized,volatile,random,Lock,"A,B,D"
Java,Which are functional interfaces?,Predicate,Function,Random,Consumer,"A,B,D"
Java,Which are design patterns?,Singleton,Factory,Chaos,Observer,"A,B,D"
Java,Which are generics wildcards?,<? extends>,<? super>,<? random>,<?>,"A,B,D"
Java,Which are annotation types?,@Override,@Deprecated,@Random,@FunctionalInterface,"A,B,D"
Java,Which are Java IO classes?,FileReader,BufferedReader,Compiler,InputStream,"A,B,D"
Java,Which support lambda expressions?,Functional interfaces,Stream API,Random code,Method references,"A,B,D"
Java,Which are garbage collection types?,Serial,Parallel,Manual,G1,"A,B,D"
Java,Which are Java testing frameworks?,JUnit,TestNG,Notepad,Mockito,"A,B,D"
Java,Which are serialization mechanisms?,Serializable,Externalizable,Random,ObjectOutputStream,"A,B,D"
Java,Which are reflection capabilities?,Class inspection,Method invocation,Random access,Field access,"A,B,D"
Java,Which are immutable classes?,String,Integer,ArrayList,BigDecimal,"A,B,D"
Java,Which handle database connectivity?,JDBC,JPA,Printer,Hibernate,"A,B,D"
Java,Which are comparison methods?,equals,compareTo,random,hashCode,"A,B,D"
Java,Which support dependency injection?,Spring,Guice,Manual,CDI,"A,B,D"
Java,Which are date-time classes?,LocalDate,LocalDateTime,Random,Instant,"A,B,D"
Java,Which implement collections?,ArrayList,HashSet,Random,LinkedList,"A,B,D"
Java,Which are modifier keywords?,static,final,random,abstract,"A,B,D"
Java,Which handle REST APIs?,RestTemplate,JAX-RS,Notepad,HttpClient,"A,B,D"
Java,Which are memory areas?,Heap,Stack,Random,Method area,"A,B,D"
Java,Which support asynchronous programming?,CompletableFuture,Future,Random,Executor,"A,B,D"
Java,Which are logging frameworks?,Log4j,SLF4J,Printer,Logback,"A,B,D"
Java,Which implement security?,Security Manager,Encryption,No security,Authentication,"A,B,D"
Java,Which handle JSON processing?,Jackson,Gson,Notepad,JSON-P,"A,B,D"
Java,Which are build tools?,Maven,Gradle,Notepad,Ant,"A,B,D"
Java,Which support reactive programming?,RxJava,Project Reactor,Random,Flux,"A,B,D"
Java,Which are class types?,Abstract,Final,Random,Concrete,"A,B,D"
Java,Which handle caching?,Caffeine,Ehcache,No cache,Guava,"A,B,D"
Java,Which are sorting algorithms?,Collections.sort,Arrays.sort,Random sort,Custom comparator,"A,B,D"
Java,Which implement microservices?,Spring Boot,Micronaut,Monolith,Quarkus,"A,B,D"
Java,Which are validation frameworks?,Bean Validation,Hibernate Validator,No validation,Custom validators,"A,B,D"
Java,Which support XML processing?,JAXB,DOM,Random,SAX,"A,B,D"
Java,Which are code quality tools?,SonarQube,Checkstyle,Random,PMD,"A,B,D"
Java,Which handle email?,JavaMail,Spring Mail,Printer,SMTP client,"A,B,D"
Java,Which are performance profiling tools?,JProfiler,VisualVM,Random,YourKit,"A,B,D"
Java,Which support web sockets?,Java WebSocket API,Spring WebSocket,Random,Tyrus,"A,B,D"
Java,Which implement ORM?,Hibernate,JPA,Random,MyBatis,"A,B,D"
Java,Which are packaging formats?,JAR,WAR,TXT,EAR,"A,B,D"
Java,Which support scheduling?,ScheduledExecutorService,Quartz,Random,Spring Scheduler,"A,B,D"
C#,Which are C# value types?,int,struct,string,bool,"A,B,D"
C#,Which are access modifiers?,public,private,friend,internal,"A,B,D"
C#,Which are C# collection types?,List,Dictionary,Random,HashSet,"A,B,D"
C#,Which implement interfaces?,class,struct,random,record,"A,B,D"
C#,Which are loop constructs?,for,foreach,repeat,while,"A,B,D"
C#,Which are LINQ methods?,Select,Where,Random,OrderBy,"A,B,D"
C#,Which handle asynchronous code?,async,await,random,Task,"A,B,D"
C#,Which are delegate types?,Action,Func,Random,Predicate,"A,B,D"
C#,Which are exception handling keywords?,try,catch,random,finally,"A,B,D"
C#,Which are C# frameworks?,.NET Core,ASP.NET,Photoshop,Entity Framework,"A,B,D"
C#,Which are access level modifiers?,protected,internal,friend,private protected,"A,B,D"
C#,Which support nullable types?,Nullable<T>,?,random,HasValue,"A,B,D"
C#,Which implement dependency injection?,IServiceCollection,ServiceProvider,Random,DI Container,"A,B,D"
C#,Which are attribute targets?,Assembly,Class,Random,Method,"A,B,D"
C#,Which handle file operations?,File,FileStream,Random,StreamReader,"A,B,D"
C#,Which are generic constraints?,where T : class,where T : struct,where T : random,where T : new(),"A,B,D"
C#,Which support events?,event,EventHandler,random,delegate,"A,B,D"
C#,Which are testing frameworks?,NUnit,xUnit,Notepad,MSTest,"A,B,D"
C#,Which implement serialization?,JsonSerializer,XmlSerializer,Random,BinaryFormatter,"A,B,D"
C#,Which are ORM frameworks?,Entity Framework,Dapper,Random,NHibernate,"A,B,D"
C#,Which support reflection?,Type,Assembly,Random,MethodInfo,"A,B,D"
C#,Which handle threading?,Thread,Task,Random,ThreadPool,"A,B,D"
C#,Which are pattern matching features?,is,switch,random,when,"A,B,D"
C#,Which implement validation?,Data Annotations,FluentValidation,Random,IValidatableObject,"A,B,D"
C#,Which are middleware components?,UseRouting,UseAuthentication,Random,UseAuthorization,"A,B,D"
C#,Which support configuration?,appsettings.json,IConfiguration,Random,Options pattern,"A,B,D"
C#,Which handle HTTP requests?,HttpClient,HttpRequest,Random,WebRequest,"A,B,D"
C#,Which are logging providers?,Console,Debug,Random,EventLog,"A,B,D"
C#,Which implement caching?,MemoryCache,DistributedCache,Random,ResponseCache,"A,B,D"
C#,Which are query operators?,from,select,random,where,"A,B,D"
C#,Which support encryption?,AES,RSA,Plain,SHA256,"A,B,D"
C#,Which handle database connections?,SqlConnection,DbConnection,Random,EntityFramework,"A,B,D"
C#,Which are record features?,Positional syntax,Value equality,Random,Immutability,"A,B,D"
C#,Which implement authorization?,Authorize,AllowAnonymous,Random,Policies,"A,B,D"
C#,Which are method modifiers?,virtual,override,random,sealed,"A,B,D"
C#,Which support SignalR?,Hub,HubConnection,Random,IHubContext,"A,B,D"
C#,Which handle JSON?,JsonDocument,JsonSerializer,Random,Newtonsoft.Json,"A,B,D"
C#,Which are expression tree types?,Expression,LambdaExpression,Random,BinaryExpression,"A,B,D"
C#,Which implement background services?,IHostedService,BackgroundService,Random,Timer,"A,B,D"
C#,Which support API versioning?,URL versioning,Header versioning,Random,Query string,"A,B,D"
C#,Which are memory management features?,Garbage collection,IDisposable,Manual,Finalizer,"A,B,D"
C#,Which handle XML?,XDocument,XmlReader,Random,XmlSerializer,"A,B,D"
C#,Which support gRPC?,gRPC client,gRPC server,Random,Protobuf,"A,B,D"
C#,Which are code analyzers?,Roslyn,StyleCop,Random,FxCop,"A,B,D"
C#,Which implement repositories?,Repository pattern,Unit of Work,Random,DbContext,"A,B,D"
C#,Which support WebSockets?,WebSocket,ClientWebSocket,Random,WebSocketMiddleware,"A,B,D"
C#,Which handle localization?,IStringLocalizer,Resources,Random,CultureInfo,"A,B,D"
C#,Which are yield keywords?,yield return,yield break,yield random,yield continue,"A,B"
C#,Which support健康检查?,HealthCheck,IHealthCheck,Random,HealthCheckService,"A,B,D"
Python,Which are Python data types?,list,dict,random,tuple,"A,B,D"
Python,Which are Python keywords?,def,class,function,import,"A,B,D"
Python,Which are built-in functions?,print,len,compile,type,"A,B,D"
Python,Which are loop statements?,for,while,repeat,break,"A,B,D"
Python,Which handle exceptions?,try,except,random,finally,"A,B,D"
Python,Which are module types?,Built-in,Third-party,Random,Custom,"A,B,D"
Python,Which are string methods?,split,join,compile,replace,"A,B,D"
Python,Which are list methods?,append,extend,random,pop,"A,B,D"
Python,Which support file operations?,open,read,random,write,"A,B,D"
Python,Which are Python frameworks?,Django,Flask,Photoshop,FastAPI,"A,B,D"
Python,Which are decorators?,@staticmethod,@classmethod,@random,@property,"A,B,D"
Python,Which handle concurrency?,threading,asyncio,random,multiprocessing,"A,B,D"
Python,Which are comprehension types?,List comprehension,Dict comprehension,Random,Generator expression,"A,B,D"
Python,Which are data science libraries?,NumPy,Pandas,Notepad,Matplotlib,"A,B,D"
Python,Which support testing?,unittest,pytest,random,mock,"A,B,D"
Python,Which handle JSON?,json.loads,json.dumps,random,JSONDecoder,"A,B,D"
Python,Which are context managers?,with,__enter__,random,__exit__,"A,B,D"
Python,Which implement iterators?,__iter__,__next__,random,StopIteration,"A,B,D"
Python,Which are magic methods?,__init__,__str__,random,__len__,"A,B,D"
Python,Which support virtual environments?,venv,virtualenv,random,conda,"A,B,D"
Python,Which handle databases?,SQLAlchemy,psycopg2,random,pymongo,"A,B,D"
Python,Which are collection types?,set,frozenset,random,deque,"A,B,D"
Python,Which support web scraping?,BeautifulSoup,Scrapy,random,requests,"A,B,D"
Python,Which implement logging?,logging,logger,random,handlers,"A,B,D"
Python,Which are valid Python data types?,Integer,String,Compiler,List,"A,B,D"
Python,Which are Python loop structures?,for loop,while loop,until loop,do-while loop,A,B
Python,Which are mutable data types in Python?,List,Dictionary,Tuple,Set,"A,B,D"
Python,Which keywords are used for exception handling?,try,except,catch,finally,"A,B,D"
Python,Which are Python comparison operators?,==,!=,>=,<>,"A,B,C"
Python,Which modules are part of Python standard library?,os,sys,django,math,"A,B,D"
Python,Which are valid ways to create a list?,Using brackets [],Using list(),Using curly braces {},Using parentheses (),"A,B"
Python,Which functions convert data types?,int(),str(),compile(),float(),"A,B,D"
Python,Which are string methods in Python?,upper(),lower(),split(),compile(),"A,B,C"
Python,Which statements control loop flow?,break,continue,pause,pass,"A,B,D"
Python,Which are Python logical operators?,and,or,xor,not,"A,B,D"
Python,Which are file opening modes?,r (read),w (write),x (execute),a (append),"A,B,D"
Python,Which are valid function definition keywords?,def,lambda,function,async,"A,B,D"
Python,Which collections are ordered?,List,Tuple,Set,Dictionary,"A,B"
Python,Which are Python built-in functions?,print(),len(),compile(),range(),"A,B,D"
Python,Which operators perform arithmetic?,+,-,.,*,"A,B,D"
Python,Which are ways to format strings?,f-strings,format(),concat(),% formatting,"A,B,D"
Python,Which are valid variable naming rules?,Can start with underscore,Can contain numbers,Can start with number,Can contain letters,"A,B,D"
Python,Which statements are conditional?,if,elif,when,else,"A,B,D"
Python,Which are Python decorators used for?,Modifying functions,Adding functionality,Compiling code,Wrapping functions,"A,B,D"
Python,Which methods add items to lists?,append(),extend(),compile(),insert(),"A,B,D"
Python,Which are dictionary methods?,keys(),values(),items(),indexes(),"A,B,C"
Python,Which are valid import statements?,import module,from module import,using module,import module as,"A,B,D"
Python,Which comprehensions exist in Python?,List comprehension,Dictionary comprehension,Class comprehension,Set comprehension,"A,B,D"
Python,Which are object-oriented concepts in Python?,Inheritance,Polymorphism,Compilation,Encapsulation,"A,B,D"
Python,Which modules handle JSON data?,json,pickle,compiler,ast,"A,B"
Python,Which are valid class methods?,@classmethod,@staticmethod,@publicmethod,Instance methods,"A,B,D"
Python,Which operators are bitwise?,&,|,&&,^,"A,B,D"
Python,Which functions work with iterables?,map(),filter(),compile(),zip(),"A,B,D"
Python,Which are valid assert uses?,Testing conditions,Debugging,Compiling,Error checking,"A,B,D"
Python,Which libraries are for data science?,NumPy,Pandas,Django,Matplotlib,"A,B,D"
Python,Which are Python magic methods?,__init__,__str__,__compile__,__len__,"A,B,D"
Python,Which handle multiple values?,Tuples,Lists,Integers,Dictionaries,"A,B,D"
Python,Which are context managers?,with statement,try statement,using statement,contextlib module,"A,D"
Python,Which are valid boolean values?,True,False,Maybe,None,"A,B"
Python,Which are sequence types?,String,List,Set,Tuple,"A,B,D"
Python,Which keywords define scope?,global,local,nonlocal,universal,"A,C"
Python,Which are Python web frameworks?,Django,Flask,NumPy,FastAPI,"A,B,D"
Python,Which operators check membership?,in,not in,contains,has,"A,B"
Python,Which are valid ways to copy lists?,list.copy(),list[:],list.duplicate(),list(list),"A,B,D"
Python,Which functions handle input/output?,input(),print(),read(),write(),"A,B,D"
Python,Which are set operations?,union(),intersection(),join(),difference(),"A,B,D"
Python,Which are valid number types?,int,float,decimal,complex,"A,B,D"
Python,Which keywords relate to classes?,class,self,this,super,"A,B,D"
Python,Which libraries handle dates?,datetime,time,calendar,clock,"A,B,C"
Python,Which are valid lambda uses?,Sorting key,Filter function,Class definition,Map function,"A,B,D"
Python,Which methods remove list items?,remove(),pop(),delete(),clear(),"A,B,D"
Python,Which are valid pip commands?,install,uninstall,compile,list,"A,B,D"
Python,Which are Python testing frameworks?,unittest,pytest,compiler,doctest,"A,B,D"
Python,Which handle asynchronous code?,async,await,promise,asyncio,"A,B,D"
Web Design,Which are valid HTML5 semantic elements?,<header>,<nav>,<content>,<footer>,"A,B,D"
Web Design,Which CSS properties affect text?,color,font-size,border,text-align,"A,B,D"
Web Design,Which are CSS layout methods?,Flexbox,Grid,Table,Float,"A,B,D"
Web Design,Which are valid CSS selectors?,Class selector,ID selector,Name selector,Element selector,"A,B,D"
Web Design,Which HTML attributes are global?,id,class,href,style,"A,B,D"
Web Design,Which are CSS box model properties?,margin,padding,content,border,"A,B,D"
Web Design,Which are JavaScript DOM methods?,getElementById,querySelector,getElementByName,querySelectorAll,"A,B,D"
Web Design,Which are responsive design techniques?,Media queries,Flexible grids,Static widths,Flexible images,"A,B,D"
Web Design,Which are valid CSS units?,px,em,cm,%,"A,B,D"
Web Design,Which are HTML form input types?,text,email,address,number,"A,B,D"
Web Design,Which are CSS positioning values?,absolute,relative,static,fixed,"A,B,D"
